
#Model	Synth450	Manual		Time
           
1	96.88    	92.41 		0.089         
2       99.27		94.67		0.162
3	99.57    	99.21 		0.234 
4	99.72		98.81		0.345
5	99.59		98.72   	0.466
6	99.80		98.41		0.598
7	99.19 		96.19    	0.768        

